Nama,Category,Place,Price,Ratings,Comment,Link Gmaps,Images,Contact Person
Tegenungan Waterfall,Nature,Gianyar,20000,4.3,22000,https://g.page/tegenungan-waterfall?share,https://lh5.googleusercontent.com/p/AF1QipNDJJmoIQeDZRFiIoLHEoDoI_unXbuem4gia0yW=w163-h92-k-no,none
Air Terjun Leke Leke,Nature,Tabanan,25000,4.5,850,https://goo.gl/maps/veszwwWfHgWdTr928,https://lh5.googleusercontent.com/p/AF1QipORzeS7q82KhsTUI-qG2O5HqKHRcqBJJAoy6Ewr=w80-h106-k-no,none
Banyumala Waterfall,Nature,Buleleng,30000,4.8,2174,https://goo.gl/maps/B5UAgYRDmUy9WhEGA,https://lh5.googleusercontent.com/p/AF1QipPfat6I6If8pdJS8vNbHoTCmBrusgbYx1NQliMU=w138-h92-k-no,none
Gitgit Waterfall,Nature,Buleleng,30000,4.3,1800,https://goo.gl/maps/76kVoxquc4td6sA76,https://lh6.googleusercontent.com/proxy/8IdHzlcBVnQmd38gCXjldBnkl1VRVp-qVz8XgEvq_PSR53B4WGromj8R_PnLAU2m2aFmC7MU-O8DADr2H9Wb_tP-9jkk0_1j9ggxykeXDQiXxJZNe0fy-IAJFRTqawHcc30ZnlKnvEbpnNiE4T0eq0GyFPOZsg=w138-h92-k-no,none
Air Terjun Jembong Ambengan,Nature,Buleleng,30000,4.5,649,https://goo.gl/maps/R7F5DUTVTf8B8qje7https://goo.gl/maps/R7F5DUTVTf8B8qje7,https://lh5.googleusercontent.com/p/AF1QipPIqHS0SdPTq6yc_ydtb59heZmKtF3JStSeLbAv=w90-h92-k-no,none





































